customer_id,age,gender,department,salary,bonus
C001,25,Male,Sales,45000,5000
C002,32,Female,Marketing,52000,6000
C003,41,M,IT,78000,8000
C004,29,Female,HR,48000,
C005,37,Male,Finance,92000,12000
C006,45,Female,IT,105000,15000
C007,23,Male,Sales,38000,3000
C008,52,Female,Finance,115000,20000
C009,28,Female,Marketing,56000,6500
C010,34,Male,HR,61000,7000
C011,60,Male,IT,130000,25000
C012,19,Male,Sales,22000,1500
C013,44,Female,Finance,98000,11000
C014,,Female,HR,54000,6000
C015,39,Male,Marketing,72000,8000
C016,27,Female,Sales,46000,5200
C017,31,Male,IT,68000,-2000
C018,120,Male,Finance,40000,3000
C019,36,Other,HR,59000,6500
C020,48,Female,IT,108000,14000
